no,name,rank,family,size
86,やたがらす,E,ゾンビ,S
87,エビルドライブ,E,ゾンビ,S
88,スライムベス,E,スライム,S
89,ドラゴンブッシュ,E,ドラゴン,S
90,もみじこぞう,E,自然,S
91,ワンダーフール,E,魔獣,S
92,フレイム,E,物質,S
93,くびかり族,E,悪魔,S
94,ボーンプリズナー,E,ゾンビ,S
95,ドロルメイジ,E,ゾンビ,S
96,ダッシュラン,E,ドラゴン,S
97,マッドプラント,E,自然,S
98,グリズリー,E,魔獣,M
99,モーモン,E,魔獣,S
100,ドロヌーバ,E,物質,S
101,ドルイド,E,悪魔,S
102,スキッパー,E,ゾンビ,S
103,スライムつむり,E,スライム,S
104,ドラゴン,E,ドラゴン,M
105,サボテンボール,E,自然,S
106,よるのていおう,E,魔獣,S
107,リンリン,E,物質,S
108,ジャンバラヤン,E,悪魔,S
109,ダースウルフェン,E,ゾンビ,S
110,トマトマーレ,F,スライム,S
111,フェアリードラゴン,E,ドラゴン,S
112,オニオーン,E,自然,S
113,シードッグ,E,魔獣,S
114,プリズニャン,E,魔獣,S
115,おどるほうせき,E,物質,S
116,ベビーサタン,E,悪魔,S
117,マッドロン,E,ゾンビ,S
118,ぶちスライム,E,スライム,S
119,おおイグアナ,E,ドラゴン,M
120,テールイーター,E,自然,S
121,どんぐりベビー,E,自然,S
122,アルミラージ,E,魔獣,S
123,あくまのつぼ,E,物質,S
124,グレムリン,E,悪魔,S
125,ハエおとこ,E,ゾンビ,S
126,ウィングスネーク,E,ドラゴン,M
127,かまいたち,E,自然,S
128,サーベルきつね,E,魔獣,S
129,ひとくい箱,E,物質,S
130,ヌボーン,E,悪魔,S
131,はなまどう,E,ゾンビ,S
132,スライムカルゴ,E,スライム,S
133,スカルゴン,E,ドラゴン,S
134,じんめんちょう,E,自然,S
135,ポグフィッシュ,E,自然,S
136,ビックアイ,E,魔獣,S
137,シャドー,E,物質,S
138,びっくりサタン,E,悪魔,S
139,ポムポムボム,E,ゾンビ,S
140,ドラゴンバゲージ,E,ドラゴン,S
141,フェアリーラット,E,自然,S
142,オーク,E,魔獣,S
143,さつじんいかり,E,物質,S
144,レッサーデーモン,E,悪魔,S
145,パラサキス,E,ゾンビ,S
146,かれくさネズミ,F,魔獣,S
147,スノーム,E,スライム,S
148,フーセンドラゴン,E,ドラゴン,S
149,デッドペッカー,E,自然,S
150,ストロングアニマル,E,魔獣,M
151,りゅうはかせ,F,ドラゴン,M
152,とっしんこぞう,E,物質,S
153,ゴールドマン,E,物質,S
154,ひとつめピエロ,E,悪魔,S
155,ふゆうじゅ,E,ゾンビ,S
156,ギャオース,D,ドラゴン,S
157,キメラ,D,自然,S
158,ビーライダー,D,自然,S
159,ブラウニー,D,魔獣,S
160,ギズモ,D,物質,S
161,ピサロのてさき,D,悪魔,S
162,ぼうれいけんし,D,ゾンビ,S
163,スライムナイト,D,スライム,S
164,ダースドラゴン,D,ドラゴン,M
165,せみもぐら,D,自然,S
166,いわとびあくま,D,自然,S
167,とらおとこ,D,魔獣,S
168,メタッピー,D,物質,S
169,デザートデーモン,D,悪魔,S
170,がいこつ,D,ゾンビ,S
171,たつのこナイト,D,ドラゴン,S
172,ビーンファイター,D,自然,S
173,ダークホーン,D,魔獣,S
174,あばれこまいぬ,D,物質,S
175,スカルサーペント,D,ゾンビ,S
176,パールモービル,D,物質,S
177,ストーンスライム,D,スライム,S
178,バピラス,D,ドラゴン,S
179,ぐんたいガニ,D,自然,S
180,モーザ,D,魔獣,M
181,クラウンヘッド,D,物質,M
182,メドーサボール,D,悪魔,G
183,スカルブレード,D,ゾンビ,S
184,キングコブラ,D,ドラゴン,S
185,はさみくわがた,D,自然,S
186,リカント,D,魔獣,S
187,ゴーレム,D,物質,S
188,シルバーデビル,D,悪魔,S
189,おおなめくじ,D,ゾンビ,G
190,ボックススライム,D,スライム,S
191,プテラノドン,D,ドラゴン,M
192,おおうつぼ,D,自然,S
193,キラーエイプ,D,魔獣,S
194,ひとくいサーベル,D,物質,S
195,あくましんかん,D,悪魔,S
196,あくまのめだま,D,ゾンビ,S
197,ギガントヒルズ,D,ドラゴン,S
198,おおさそり,D,自然,S
199,ガマキャノン,D,魔獣,M
200,パペットこぞう,D,物質,S
201,きりさきピエロ,D,悪魔,S
202,マネマネ,D,ゾンビ,S
203,エンゼルスライム,D,スライム,S
204,ガメゴン,D,ドラゴン,M
205,メイデンドール,D,ゾンビ,M
206,プチアーノン,D,自然,S
207,おおみみず,D,自然,G
208,トドマン,D,魔獣,M
209,デビルアーマー,D,物質,S
210,リリパット,D,悪魔,S
211,ダーククラブ,D,ゾンビ,S
212,メタルスライム,D,スライム,S
213,バトルレックス,D,ドラゴン,S
214,エビルアングラー,D,自然,S
215,キラーパンサー,D,魔獣,S
216,こうてつまじん,D,物質,M
217,サタンパピー,D,悪魔,S
218,くらやみハーピー,D,悪魔,S
219,わかめおうじ,D,ゾンビ,S
220,もりもりスライム,D,スライム,S
221,アイアンタートル,D,ドラゴン,S
222,スーパーテンツク,D,自然,G
223,タイガーランス,D,魔獣,S
224,あくまの書,D,物質,S
225,ふくぶくろ,D,物質,S
226,スペクテット,D,悪魔,S
227,ナイトウイプス,D,ゾンビ,S
228,スラ忍イエロー,D,スライム,S
229,スラ忍レッド,D,スライム,S
230,スラ忍ブラウン,D,スライム,S
231,スラ忍グリーン,D,スライム,S
232,スラ忍パープル,D,スライム,S
233,スラ忍ブルー,D,スライム,S
234,スラ忍オレンジ,D,スライム,S
235,スラ忍ピンク,D,スライム,S
236,スラ忍ブラック,D,スライム,S
237,カンダタこぶん,D,？？？,S
238,大魔王の右手,D,？？？,S
239,大魔王の左手,D,？？？,S
240,ぶちキング,C,スライム,S
241,海竜,C,ドラゴン,S
242,ヘルコンドル,C,自然,S
243,ガーゴイル,C,魔獣,S
244,いどまじん,C,物質,S
245,エビルマスター,C,悪魔,S
246,かぼちゃの騎士,C,ゾンビ,S
247,スラッピー,C,スライム,M
248,バルンバ,C,ドラゴン,S
249,ガンコどり,C,自然,S
250,ねこまどう,C,魔獣,S
251,エビルワンド,C,物質,S
252,フェアリーバット,C,悪魔,S
253,オーガヘッド,C,悪魔,M
254,くさった死体,C,ゾンビ,S
255,メタルライダー,C,スライム,S
256,メタルドラゴン,C,ドラゴン,S
257,ドラゴビショップ,C,ドラゴン,M
258,じんめんじゅ,C,自然,M
259,キラースコップ,C,魔獣,S
260,プオーン,C,魔獣,S
261,エビルポット,C,物質,S
262,ヘルビースト,C,悪魔,S
263,さまようよろい,C,ゾンビ,S
264,もりもりベス,C,スライム,S
265,ドラゴンマッド,C,ドラゴン,S
266,とうちゅうかそう,C,自然,S
267,ライノソルジャー,C,魔獣,S
268,くもの大王,C,物質,S
269,おおドラキー,C,悪魔,S
270,キラーストーカー,C,ゾンビ,S
271,スライムブレス,C,スライム,S
272,ソードドラゴン,C,ドラゴン,M
273,グランドシャーク,C,自然,S
274,アイアンブルドー,C,魔獣,S
275,あくまのカガミ,C,物質,S
276,メタルハンター,C,物質,S
277,オクトセントリー,C,悪魔,S
278,ケルベロス,C,ゾンビ,S
279,キングスライム,C,スライム,S
280,デンタザウルス,C,ドラゴン,S
281,とつげきうお,C,自然,S
282,マーマン,C,魔獣,S
283,ギガハンド,C,物質,G
284,サイレス,C,悪魔,S
285,しにがみ,C,ゾンビ,S
286,スライムタワー,C,スライム,S
287,ライバーン,C,ドラゴン,M
288,かりゅうそう,C,自然,S
289,かくとうパンサー,C,魔獣,S
290,メガボーグ,C,物質,S
291,セイレーンゴースト,C,ゾンビ,M
292,魔教師エルシオン,C,悪魔,M
293,じごくのもんばん,C,悪魔,S
294,アラウネ,C,スライム,S
295,ドラゴンヘビー,C,ドラゴン,G
296,エビラ,C,自然,S
297,イノブタマン,C,魔獣,M
298,グリーンモッキー,C,魔獣,S
299,コハクそう,C,物質,M
300,コトブキーノ,C,悪魔,S
301,ウインドマージ,C,ゾンビ,S
302,ベホマスライム,C,スライム,S
303,れんごく天馬,C,ドラゴン,S
304,ダックカイト,C,自然,S
305,デスフラッター,C,自然,S
306,サイコロン,C,魔獣,S
307,ひょうがまじん,C,物質,S
308,ジェネラルダンテ,C,悪魔,S
309,ダンスキャロット,C,ゾンビ,S
310,スライムボーグ,C,スライム,S
311,シュプリンガー,C,ドラゴン,S
312,ファンキーバード,C,自然,S
313,ダンビラムーチョ,C,魔獣,S
314,ようがんまじん,C,物質,S
315,なぞのしんかん,C,悪魔,S
316,ソードファントム,C,ゾンビ,S
317,ティコ,C,？？？,S
318,ククリ,C,？？？,S
319,はぐれメタル,B,スライム,S
320,アルゴングレート,B,ドラゴン,S
321,ホークブリザード,B,自然,S
322,マッドハニービー,B,自然,S
323,コングヘッド,B,魔獣,S
324,プロトキラー,B,物質,S
325,ブラッドレディ,B,悪魔,S
326,バリクナジャ,B,悪魔,G
327,しりょうのきし,B,ゾンビ,S
328,まどうスライム,B,スライム,S
329,ドラゴンソルジャー,B,ドラゴン,S
330,ひくいどり,B,自然,S
331,かぶとこぞう,B,自然,S
332,ゴートドン,B,魔獣,S
333,ミミック,B,物質,S
334,デーモンレスラー,B,悪魔,S
335,ボーンナイト,B,ゾンビ,S
336,デスマドモアゼル,B,ゾンビ,M
337,ダークスライム,B,スライム,S
338,スカイドラゴン,B,ドラゴン,M
339,メダパニシックル,B,自然,S
340,バードファイター,B,魔獣,S
341,キラーピッケル,B,魔獣,S
342,エビルチャリオット,B,物質,S
343,メッサーラ,B,悪魔,S
344,デスタランチュラ,B,ゾンビ,M
345,ルーファ,B,スライム,S
346,シャークマジュ,B,ドラゴン,S
347,キラーグース,B,自然,S
348,ピンクモーモン,B,魔獣,S
349,ポンポコあにき,B,魔獣,S
350,だいあくまの書,B,物質,M
351,ギガンテス,B,悪魔,M
352,エビルスピリッツ,B,ゾンビ,S
353,キラーポッド,B,物質,S
354,ワンダーエッグ,B,スライム,S
355,リザードファッツ,B,ドラゴン,S
356,ひとくいそう,B,自然,M
357,タイラントワーム,B,自然,G
358,ウイングタイガー,B,魔獣,G
359,キラーアーマー,B,物質,S
360,ボストロール,B,悪魔,M
361,オーガー,B,悪魔,S
362,ナイトリッチ,B,ゾンビ,S
363,病魔パンデルム,B,ゾンビ,S
364,スライダーヒーロー,B,スライム,S
365,ヘルダイバー,B,ドラゴン,S
366,ダンジョンえび,B,自然,S
367,グレイトホーン,B,魔獣,M
368,ガスダンゴ,B,物質,S
369,あくまの騎士,B,悪魔,S
370,ゆうれい船長,B,ゾンビ,S
371,じごくのメンドーサ,B,ゾンビ,S
372,死神スライダーク,B,スライム,S
373,ドラゴンライダー,B,ドラゴン,S
374,ヘルホーネット,B,自然,S
375,パオーム,B,魔獣,M
376,炎の戦士,B,物質,S
377,ジャミラス,B,悪魔,S
378,マンドラゴラ,B,ゾンビ,S
379,ダークナイト,B,スライム,S
380,スマイルリザード,B,ドラゴン,S
381,デスファレーナ,B,自然,S
382,魔王の書,B,物質,G
383,アークデーモン,B,悪魔,S
384,デスゴーゴン,B,ゾンビ,M
385,黒騎士レオコーン,B,ゾンビ,S
386,少年レオソード,B,？？？,S
387,スライムベホマズン,B,スライム,S
388,トライワインダー,B,ドラゴン,M
389,ドラゴンロード,B,ドラゴン,M
390,よろいムカデ,B,自然,S
391,ギリメカラ,B,魔獣,M
392,ブリザードマン,B,物質,S
393,キラーマシン,B,物質,S
394,ランプの魔王,B,悪魔,S
395,フラワーゾンビ,B,ゾンビ,S
396,スライムファミリー,A,スライム,G
397,アンドレアル,A,ドラゴン,S
398,マンイーター,A,自然,S
399,とうだいタイガー,A,魔獣,S
400,ブオーン,A,魔獣,G
401,トラップボックス,A,物質,S
402,ウィングデビル,A,悪魔,S
403,トロルボンバー,A,悪魔,M
404,ギガミュータント,A,ゾンビ,S
405,バブルキング,A,スライム,S
406,ずしおうまる,A,ドラゴン,S
407,バッファロン,A,魔獣,S
408,シールドオーガ,A,物質,S
409,魔王の使い,A,悪魔,S
410,デッドマスカー,A,ゾンビ,M
411,スライダーキッズ,A,スライム,S
412,ワニバーン,A,ドラゴン,S
413,ウパソルジャー,A,自然,S
414,グレンデル,A,魔獣,S
415,キマイラロード,A,魔獣,M
416,ボル,A,物質,S
417,ブル,A,物質,S
418,バル,A,物質,S
419,ベル,A,物質,S
420,ライオネック,A,悪魔,S
421,皇帝ガナサダイ,A,ゾンビ,M
422,ダークキング,A,スライム,S
423,黒竜丸,A,ドラゴン,S
424,サンダーバード,A,自然,M
425,ユニコーン,A,魔獣,S
426,木馬の騎士,A,物質,S
427,コスモファントム,A,悪魔,S
428,がいこつけんし,A,ゾンビ,S
429,イデアラゴン,A,ドラゴン,M
430,ヘラクレイザー,A,自然,S
431,マポレーナ,A,魔獣,S
432,タイムマスター,A,悪魔,S
433,セバスチャン,A,ゾンビ,S
434,黄泉の花,A,スライム,S
435,ブラッドポリス,A,自然,S
436,いなずまビリー,A,悪魔,S
437,グレイトボンバー,A,物質,S
438,ダークサキュバス,A,悪魔,S
439,オカルトビスク,A,ゾンビ,M
440,カンダタ,A,？？？,S
441,アサシンブロス,A,ドラゴン,M
442,プチットガールズ,A,悪魔,S
443,ダブルイーター,A,悪魔,S
444,デスソシスト,A,ゾンビ,M
445,メタルカイザー,A,スライム,M
446,オーシャンクロー,A,ドラゴン,S
447,モヒカント,A,魔獣,S
448,グラコス,A,悪魔,S
449,なげきのぼうれい,A,ゾンビ,S
450,死神きぞく,A,ゾンビ,S
451,グレイトドラゴン,A,ドラゴン,S
452,ローズダンス,A,自然,M
453,ゴンズ,A,魔獣,S
454,うごくせきぞう,A,物質,S
455,じごくのマドンナ,A,悪魔,M
456,ドラゴンコープス,A,ゾンビ,S
457,スライダーガール,A,スライム,M
458,ガルーダ,A,自然,S
459,アンクルホーン,A,悪魔,S
460,ほうらい大王,A,悪魔,M
461,ゲモン,A,悪魔,M
462,ナイトキング,A,ゾンビ,S
463,妖女イシュダル,A,悪魔,M
464,ピサロナイト,A,ゾンビ,S
465,スライムジェネラル,A,スライム,S
466,メカバーン,A,ドラゴン,S
467,ロック鳥,A,自然,S
468,ドン・モグーラ,A,魔獣,S
469,デュラン,A,悪魔,S
470,ベリアル,A,悪魔,S
471,ヒヒュルデの使い,A,ゾンビ,S
472,デュラハーン,A,ゾンビ,S
473,ジャミ,A,魔獣,S
474,マリンデュエル,A,魔獣,M
475,どぐう戦士,A,物質,M
476,バズズ,A,悪魔,S
477,スカルスパイダー,A,ゾンビ,M
478,メタルキング,A,スライム,S
479,イブール,A,ドラゴン,S
480,タウラス,A,魔獣,M
481,カプリゴン,A,ゾンビ,M
482,ゲマ,A,ゾンビ,S
483,ヘルクラウド,A,物質,G
484,大王イカ,A,自然,M
485,ゾーマズデビル,A,？？？,S
486,プチターク,A,？？？,S
487,ミルドラース,A,？？？,S
488,デスタムーア,A,？？？,S
489,オルゴデミーラ,A,？？？,S
490,スペディオ,A,？？？,S
491,ウィンデオ,A,？？？,S
492,ガルハート,A,？？？,S
493,フレイシャ,A,？？？,S
494,グラブゾン,A,？？？,S
495,アックル,A,？？？,S
496,ディアノーグ,A,？？？,S
497,ガオガイヤ,A,？？？,S
498,長老ピピット,A,？？？,S
499,ゴレオン将軍,A,自然,S
500,ゲルニック将軍,A,悪魔,S
501,ギュメイ将軍,A,魔獣,S
502,勇車スラリンガル,S,スライム,G
503,ブラックドラゴン,S,ドラゴン,S
504,ぬしさま,S,自然,G
505,怪力軍曹イボイノス,S,自然,S
506,邪眼皇帝アウルート,S,悪魔,S
507,魔剣神レパルド,S,魔獣,S
508,メルトア,S,？？？,G
509,キラーマシン2,S,物質,S
510,アトラス,S,悪魔,M
511,フールフール,S,ドラゴン,M
512,スライダークロボ,S,スライム,G
513,ギガントドラゴン,S,ドラゴン,S
514,リーズレット,S,？？？,S
515,レティス,S,自然,G
516,キングレオ,S,魔獣,M
517,ダーククリスタル,S,物質,M
518,やまたのおろち,S,ドラゴン,G
519,ローズバトラー,S,自然,M
520,おにこんぼう,S,魔獣,S
521,ゴールデンゴーレム,S,物質,S
522,アクバー,S,悪魔,S
523,ワイトキング,S,ゾンビ,S
524,スラ忍シルバー,S,スライム,M
525,セルゲイナス,S,ドラゴン,M
526,ホーンビートル,S,自然,M
527,にじくじゃく,S,魔獣,S
528,デスマシーン,S,物質,M
529,死神の騎士,S,悪魔,M
530,バラモスゾンビ,S,ゾンビ,G
531,スラ忍ゴールド,S,スライム,M
532,コアトル,S,ドラゴン,M
533,ガマデウス,S,魔獣,S
534,ドラゴンマシン,S,物質,M
535,エビルプリースト,S,悪魔,M
536,名をうばわれし王,S,ゾンビ,M
537,キャットリベリオ,S,？？？,M
538,スライムマデュラ,S,スライム,M
539,はくりゅうおう,S,ドラゴン,M
540,さそりアーマー,S,自然,M
541,バルザック,S,魔獣,M
542,キラーマシン3,S,物質,G
543,タイタニス,S,悪魔,M
544,ゆうれい船,S,ゾンビ,G
545,キングモーモン,S,魔獣,M
546,バベルボブル,S,物質,S
547,ヘルバトラー,S,悪魔,S
548,りゅうおう,S,ドラゴン,S
549,ハーゴン,S,？？？,S
550,バラモス,S,？？？,S
551,ムドー,S,？？？,S
552,ドーク,S,？？？,S
553,魔王デスタムーア,S,？？？,G
554,フォロボシータ,S,悪魔,G
555,シドー,S,？？？,M
556,フォロボス,S,？？？,S
557,キャプテン・クロウ,S,ゾンビ,S
558,グランスライム,S,スライム,M
559,スラキャンサー,S,スライム,G
560,オセアーノン,S,自然,G
561,ドルマゲス,S,？？？,S
562,キラーマジンガ,S,物質,S
563,ゴールデンスライム,S,スライム,M
564,暗黒皇帝ガナサダイ,S,ゾンビ,G
565,暗黒の魔神,S,物質,G
566,カンダタワイフ,S,？？？,M
567,カンダタおやぶん,S,？？？,S
568,エッグラ＆チキーラ,S,？？？,M
569,魔軍司令ホメロス,S,？？？,S
570,カカロン,S,？？？,M
571,クシャラミ,S,？？？,M
572,バルバルー,S,？？？,M
573,ドメディ,S,？？？,M
574,キングスペーディオ,SS,？？？,S
575,皇帝ウィンディオ,SS,？？？,S
576,クインガルハート,SS,？？？,S
577,女帝フレイシャ,SS,？？？,S
578,グラブゾンジャック,SS,？？？,S
579,戦帝アックル,SS,？？？,S
580,ディアノーグエース,SS,？？？,S
581,義帝ガオガイヤ,SS,？？？,S
582,スーパーキラーマシン,SS,物質,M
583,カンダタレディース,SS,？？？,G
584,スラ・ブラスター,SS,スライム,G
585,ジェノダーク,SS,？？？,M
586,メタルスコーピオン,SS,自然,M
587,レオパルド,SS,魔獣,S
588,ギガデーモン,SS,魔獣,G
589,キングヒドラ,SS,ドラゴン,G
590,デスピサロ,SS,？？？,M
591,魔王ミルドラース,SS,？？？,M
592,竜王,SS,ドラゴン,M
593,スラリン船,SS,スライム,G
594,スライバ船,SS,スライム,G
595,魔王ジェイム,SS,ドラゴン,G
596,トロデ,SS,？？？,S
597,魔壺インヘーラー,SS,物質,S
598,魔戦車ダビド,SS,物質,G
599,魔戦士ホゲイラ,SS,自然,S
600,魔戦士ヴェーラ,SS,魔獣,S
601,魔戦士アルゴ,SS,悪魔,S
602,魔戦士サイフォン,SS,ゾンビ,S
603,魔戦士ルギウス,SS,ドラゴン,S
604,魔戦士メイザー,SS,？？？,S
605,アルダララ,SS,？？？,G
606,竜皇帝バルグディス,SS,ドラゴン,G
607,ゴールドマジンガ,SS,物質,M
608,ワルぼう,SS,？？？,S
609,ガルマッゾ,SS,ゾンビ,M
610,闇の王ヴラート,SS,？？？,G
611,大魔王ゾーマ,SS,？？？,S
612,ダイヤモンドスライム,SS,スライム,S
613,かみさま,SS,？？？,S
614,わたぼう,SS,？？？,S
615,エリスグール,SS,物質,G
616,大魔王デスタムーア,SS,？？？,M
617,邪獣ヒヒュルデ,SS,？？？,G
618,はぐれメタルキング,SS,スライム,G
619,バルボロス,SS,ドラゴン,M
620,グレイナル,SS,ドラゴン,M
621,エグドラシル,SS,自然,G
622,マガルギ,SS,？？？,G
623,サージタウス,SS,物質,G
624,魔王オルゴ・デミーラ,SS,？？？,M
625,ガーディス,SS,？？？,G
626,闇竜シャムダ,SS,？？？,G
627,神竜,SS,ドラゴン,M
628,トーポ,SS,自然,S
629,絶望と憎悪の魔宮,SS,物質,G
630,魔王ラプソーン,SS,？？？,S
631,メタルスター,SS,スライム,G
632,ガルビルス,SS,？？？,G
633,じげんりゅう,SS,ドラゴン,M
634,海王神,SS,？？？,G
635,真魔王ザラーム,SS,？？？,G
636,エスターク,SS,？？？,G
637,ダークドレアム,SS,悪魔,S
638,大魔王ラプソーン,SS,？？？,G
639,神鳥レティス,SS,自然,G
640,ラーミア,SS,？？？,G
641,デモンスペーディオ,SS,？？？,S
642,JOKER,SS,？？？,S
643,JESTER,SS,？？？,S
644,邪神レオソード,SS,？？？,G
645,闘神レオソード,SS,？？？,G
646,オムドロレス,SS,？？？,G
647,ギスヴァーグ,SS,？？？,M
648,竜神王,SS,ドラゴン,M
649,エルギオス,SS,？？？,S
650,魔王ウルノーガ,SS,？？？,M
651,マスタードラゴン,SS,ドラゴン,G
652,ヒヒュドラード,SS,？？？,G
653,アギロゴス,SS,ドラゴン,G
654,魔王オムドレクス,SS,？？？,G
655,凶魔獣メイザー,SS,？？？,G
656,魔戦神ゼメルギアス,SS,？？？,G
657,大魔王ウルノーガ,SS,？？？,G
658,大魔王マデュラージャ,SS,？？？,G
659,WORLD,SS,？？？,M
